City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max_Temp,Wind Speed
Poso,75,ID,1561747634,97,-1.4,120.75,60.35,3.38
Provideniya,100,RU,1561747597,98,64.42,-173.23,45.95,3.38
Channel-Port aux Basques,30,CA,1561747677,85,47.57,-59.14,51.53,3.4
Camopi,34,GF,1561747596,94,3.17,-52.33,79.07,3.42
Mabaruma,68,GY,1561747674,78,8.2,-59.78,84.65,3.44
Gornopravdinsk,100,RU,1561747649,61,60.06,69.92,53.15,3.47
Khoy,100,IR,1561747658,65,38.55,44.95,61.43,3.51
Xining,100,CN,1561747684,78,36.62,101.77,48.47,3.53
Verkhnevilyuysk,66,RU,1561747645,90,63.45,120.31,60.71,3.56
Weihe,56,CN,1561747679,59,32.99,105.33,58.19,3.58
Baykit,32,RU,1561747644,54,61.68,96.39,63.77,3.67
Synya,70,RU,1561747671,52,65.37,58.04,57.65,3.76
Houma,0,CN,1561747691,83,35.63,111.36,62.33,3.76
Zhaotong,100,CN,1561747691,94,27.34,103.71,54.41,3.76
San Quintin,100,PH,1561747359,93,17.54,120.52,74.93,3.78
Acajutla,0,SV,1561747689,58,13.59,-89.83,86.27,3.8
Coihaique,20,CL,1561747594,59,-45.58,-72.07,35.6,3.83
Lokosovo,80,RU,1561747661,88,61.13,74.84,46.31,3.85
Santa Fe,74,AR,1561747621,81,-31.62,-60.7,64.99,4
Turiacu,40,BR,1561747659,49,-5.01,-63,90.95,4.07
Inhambane,0,MZ,1561747678,94,-23.87,35.38,63.59,4.07
San Policarpo,100,PH,1561747688,84,12.18,125.51,80.33,4.09
Suntar,82,RU,1561747675,91,62.16,117.65,61.79,4.16
Saldanha,0,PT,1561747565,38,41.42,-6.55,87.53,4.18
Kununurra,31,AU,1561747572,81,-15.77,128.74,53.6,4.21
Taunggyi,99,MM,1561747648,93,20.78,97.03,68.81,4.29
Namatanai,89,PG,1561747594,80,-3.66,152.44,78.35,4.32
Abhar,35,IR,1561747692,43,36.14,49.22,71.15,4.36
Kumluca,66,TR,1561747562,70,36.37,30.29,67.37,4.41
Lagunas,76,PE,1561747635,91,-5.23,-75.68,79.25,4.45
Oktyabrskoye,75,RU,1561747642,93,56.73,85.44,61,4.47
Aleksandrovskoye,75,RU,1561747644,93,56.74,85.39,61,4.47
Aykhal,0,RU,1561747563,64,65.95,111.51,68,4.47
Yelizovo,30,RU,1561747675,100,53.19,158.38,41,4.47
Udachnyy,0,RU,1561747690,64,66.42,112.4,68,4.47
Orel-Izumrud,40,RU,1561747693,78,43.46,39.92,75.2,4.47
Gillette,90,US,1561747638,82,44.29,-105.5,75.99,4.59
Kontagora,69,NG,1561747667,66,10.4,5.47,81.41,4.59
Anito,93,PH,1561747591,85,12.45,125.29,78.89,4.61
Burnie,95,AU,1561747653,96,-41.05,145.91,55,4.68
Maceio,40,BR,1561747536,69,-9.67,-35.74,80.6,4.7
Orange,1,US,1561747565,47,33.79,-117.85,82.99,4.7
Agpangi,75,PH,1561747644,78,10.58,123.42,80.6,4.7
Skibbereen,75,IE,1561747644,93,51.55,-9.27,60.8,4.7
Buraydah,0,SA,1561747647,19,26.33,43.97,98.6,4.7
Inuvik,20,CA,1561747649,53,68.36,-133.71,51.8,4.7
Adana,40,TR,1561747487,83,37,35.33,81,4.7
Sorland,75,NO,1561747553,93,67.67,12.69,48.2,4.7
Buin,90,CL,1561747505,66,-33.73,-70.74,50,4.7
Terrace Bay,20,CA,1561747669,63,48.78,-87.1,66.2,4.7
Shasta Lake,1,US,1561747669,42,40.68,-122.36,82.99,4.7
Aklavik,40,CA,1561747579,62,68.22,-135.01,51.8,4.7
Mackay,75,CA,1561747579,93,53.65,-115.58,57.2,4.7
Mulchen,75,CL,1561747673,93,-37.72,-72.23,48.2,4.7
Faya,0,SA,1561747585,50,18.39,42.45,78.8,4.7
Umm Bab,1,QA,1561747675,34,25.21,50.81,96.8,4.7
Fort Nelson,40,CA,1561747588,59,58.81,-122.69,64.4,4.7
Wanning,0,AT,1561747590,36,48.64,13.53,81,4.7
Ostra,15,AT,1561747685,44,48.44,15.48,77,4.7
Alice Springs,0,AU,1561747685,42,-23.7,133.88,46.4,4.7
Birjand,0,IR,1561747686,15,32.86,59.22,80.6,4.7
Xinzhi,75,TW,1561747687,94,22.54,120.62,82.4,4.7
West Plains,40,US,1561747690,78,36.73,-91.85,82,4.7
Anchorage,75,US,1561747509,72,61.22,-149.89,72,4.7
Jacareacanga,0,BR,1561747591,37,-6.22,-57.76,92.75,4.72
Shache,100,CN,1561747574,31,38.42,77.24,77.81,4.74
Zhigansk,74,RU,1561747668,58,66.77,123.37,60.89,4.76
Turinsk,6,RU,1561747656,90,58.04,63.7,51.71,4.88
Ushuaia,40,AR,1561747457,82,-54.81,-68.31,32,4.88
Liwale,0,TZ,1561747636,61,-9.8,37.92,61.07,4.97
Lorengau,75,PG,1561747542,81,-2.02,147.27,79.25,4.99
Ngunguru,15,NZ,1561747635,94,-35.62,174.5,46,5.01
Gimli,32,CA,1561747655,23,50.63,-96.99,82.99,5.01
Upata,70,VE,1561747690,73,8.02,-62.41,86,5.01
Galle,100,GN,1561747672,85,10.08,-12.83,77.09,5.03
Verkhoyansk,100,RU,1561747638,70,67.55,133.39,60.89,5.19
Dingle,92,PH,1561747579,86,11,122.67,76.55,5.35
Dunedin,100,NZ,1561747649,58,-45.87,170.5,46.85,5.46
Chuy,90,UY,1561747537,94,-33.69,-53.46,62.15,5.48
Rocha,97,UY,1561747406,97,-34.48,-54.34,57.65,5.5
